DateTime,Usage_KWH,UniqueID
3/1/2016 17:15,103.2,string
3/1/2016 17:30,100.2,string
3/1/2016 17:45,93,string
3/1/2016 18:00,90.6,string
3/1/2016 18:15,91.8,string
3/1/2016 18:30,88.8,string
3/1/2016 18:45,84,string
3/1/2016 19:00,79.8,string
3/1/2016 19:15,78,string
3/1/2016 19:30,75.6,string
3/1/2016 19:45,76.8,string
3/1/2016 20:00,76.2,string
3/1/2016 20:15,79.2,string
3/1/2016 20:30,85.8,string
3/1/2016 20:45,83.4,string
3/1/2016 21:00,81,string
3/1/2016 21:15,82.8,string
3/1/2016 21:30,82.2,string
3/1/2016 21:45,78.6,string
3/1/2016 22:00,76.8,string
3/1/2016 22:15,67.8,string
3/1/2016 22:30,61.2,string
3/1/2016 22:45,61.2,string
3/1/2016 23:00,65.4,string
3/1/2016 23:15,63.6,string
3/1/2016 23:30,60.6,string
3/1/2016 23:45,62.4,string
3/2/2016 0:00,62.4,string
3/2/2016 0:15,64.2,string
3/2/2016 0:30,58.2,string
3/2/2016 0:45,58.2,string
3/2/2016 1:00,57,string
3/2/2016 1:15,54.6,string
3/2/2016 1:30,54,string
3/2/2016 1:45,54,string
3/2/2016 2:00,54.6,string
3/2/2016 2:15,54,string
3/2/2016 2:30,54.6,string
3/2/2016 2:45,52.8,string
3/2/2016 3:00,52.8,string
3/2/2016 3:15,52.8,string
3/2/2016 3:30,55.2,string
3/2/2016 3:45,53.4,string
3/2/2016 4:00,53.4,string
3/2/2016 4:15,53.4,string
3/2/2016 4:30,54,string
3/2/2016 4:45,52.8,string
3/2/2016 5:00,55.8,string
3/2/2016 5:15,57.6,string
3/2/2016 5:30,60.6,string
3/2/2016 5:45,61.8,string
3/2/2016 6:00,61.2,string
3/2/2016 6:15,66,string
3/2/2016 6:30,70.2,string
3/2/2016 6:45,76.2,string
3/2/2016 7:00,81.6,string
3/2/2016 7:15,72,string
3/2/2016 7:30,75,string
3/2/2016 7:45,85.8,string
3/2/2016 8:00,82.8,string
3/2/2016 8:15,82.8,string
3/2/2016 8:30,85.2,string
3/2/2016 8:45,85.8,string
3/2/2016 9:00,87.6,string
3/2/2016 9:15,90,string
3/2/2016 9:30,87,string
3/2/2016 9:45,81,string
3/2/2016 10:00,81,string
3/2/2016 10:15,84,string
3/2/2016 10:30,91.8,string
3/2/2016 10:45,87,string
3/2/2016 11:00,93,string
3/2/2016 11:15,91.8,string
3/2/2016 11:30,102.6,string
3/2/2016 11:45,103.2,string
3/2/2016 12:00,104.4,string
3/2/2016 12:15,104.4,string
3/2/2016 12:30,105,string
3/2/2016 12:45,104.4,string
3/2/2016 13:00,103.2,string
3/2/2016 13:15,104.4,string
3/2/2016 13:30,102.6,string
3/2/2016 13:45,101.4,string
3/2/2016 14:00,106.2,string
3/2/2016 14:15,103.8,string
3/2/2016 14:30,104.4,string
3/2/2016 14:45,105.6,string
3/2/2016 15:00,105.6,string
3/2/2016 15:15,105.6,string
3/2/2016 15:30,107.4,string
3/2/2016 15:45,106.2,string
3/2/2016 16:00,106.2,string
3/2/2016 16:15,106.8,string
3/2/2016 16:30,106.8,string
3/2/2016 16:45,103.8,string
3/2/2016 17:00,100.8,string
3/2/2016 17:15,93,string
3/2/2016 17:30,82.8,string
3/2/2016 17:45,77.4,string
3/2/2016 18:00,77.4,string
3/2/2016 18:15,86.4,string
3/2/2016 18:30,82.8,string
3/2/2016 18:45,83.4,string
3/2/2016 19:00,82.8,string
3/2/2016 19:15,76.2,string
3/2/2016 19:30,71.4,string
3/2/2016 19:45,72,string
3/2/2016 20:00,76.8,string
3/2/2016 20:15,74.4,string
3/2/2016 20:30,81,string
3/2/2016 20:45,84,string
3/2/2016 21:00,84,string
3/2/2016 21:15,81,string
3/2/2016 21:30,76.2,string
3/2/2016 21:45,76.8,string
3/2/2016 22:00,79.8,string
3/2/2016 22:15,73.8,string
3/2/2016 22:30,72.6,string
3/2/2016 22:45,68.4,string
3/2/2016 23:00,70.8,string
3/2/2016 23:15,67.2,string
3/2/2016 23:30,67.2,string
3/2/2016 23:45,64.2,string
3/8/2016 0:00,45.6,string
3/8/2016 0:15,46.8,string
3/8/2016 0:30,42.6,string
3/8/2016 0:45,39.6,string
3/8/2016 1:00,40.8,string
3/8/2016 1:15,41.4,string
3/8/2016 1:30,42,string
3/8/2016 1:45,42,string
3/8/2016 2:00,41.4,string
3/8/2016 2:15,39.6,string
3/8/2016 2:30,39,string
3/8/2016 2:45,40.2,string
3/8/2016 3:00,42,string
3/8/2016 3:15,40.2,string
3/8/2016 3:30,40.2,string
3/8/2016 3:45,43.2,string
3/8/2016 4:00,45,string
3/8/2016 4:15,46.2,string
3/8/2016 4:30,45.6,string
3/8/2016 4:45,52.8,string
3/8/2016 5:00,55.2,string
3/8/2016 5:15,57.6,string
3/8/2016 5:30,61.2,string
3/8/2016 5:45,64.8,string
3/8/2016 6:00,67.8,string
3/8/2016 6:15,67.8,string
3/8/2016 6:30,71.4,string
3/8/2016 6:45,79.8,string
3/8/2016 7:00,72,string
3/8/2016 7:15,70.8,string
3/8/2016 7:30,70.8,string
3/8/2016 7:45,65.4,string
3/8/2016 8:00,64.2,string
3/8/2016 8:15,76.2,string
3/8/2016 8:30,70.8,string
3/8/2016 8:45,69,string
3/8/2016 9:00,71.4,string
3/8/2016 9:15,75.6,string
3/8/2016 9:30,74.4,string
3/8/2016 9:45,75.6,string
3/8/2016 10:00,79.8,string
3/8/2016 10:15,75,string
3/8/2016 10:30,81.6,string
3/8/2016 10:45,90,string
3/8/2016 11:00,86.4,string
3/8/2016 11:15,77.4,string
3/8/2016 11:30,78,string
3/8/2016 11:45,79.2,string
3/8/2016 12:00,91.8,string
3/8/2016 12:15,91.8,string
3/8/2016 12:30,99,string
3/8/2016 12:45,87,string
3/8/2016 13:00,91.8,string
3/8/2016 13:15,93,string
3/8/2016 13:30,90.6,string
3/8/2016 13:45,89.4,string
3/8/2016 14:00,94.8,string
3/8/2016 14:15,94.2,string
3/8/2016 14:30,98.4,string
3/8/2016 14:45,93.6,string
3/8/2016 15:00,84,string
3/8/2016 15:15,96,string
3/8/2016 15:30,98.4,string
3/8/2016 15:45,94.2,string
3/8/2016 16:00,93.6,string
3/8/2016 16:15,89.4,string
3/8/2016 16:30,82.8,string
3/8/2016 16:45,79.2,string
3/8/2016 17:00,84,string
3/8/2016 17:15,78.6,string
3/8/2016 17:30,79.2,string
3/8/2016 17:45,78,string
3/8/2016 18:00,73.8,string
3/8/2016 18:15,72.6,string
3/8/2016 18:30,74.4,string
3/8/2016 18:45,73.8,string
3/8/2016 19:00,69,string
3/8/2016 19:15,72,string
3/8/2016 19:30,72.6,string
3/8/2016 19:45,67.8,string
3/8/2016 20:00,72.6,string
3/8/2016 20:15,70.8,string
3/8/2016 20:30,69.6,string
3/8/2016 20:45,71.4,string
3/8/2016 21:00,69.6,string
3/8/2016 21:15,67.2,string
3/8/2016 21:30,70.8,string
3/8/2016 21:45,69,string
3/8/2016 22:00,66,string
3/8/2016 22:15,61.2,string
3/8/2016 22:30,63,string
3/8/2016 22:45,57,string
3/8/2016 23:00,55.8,string
3/8/2016 23:15,54,string
3/8/2016 23:30,53.4,string
3/8/2016 23:45,49.2,string
3/9/2016 0:00,49.8,string
3/9/2016 0:15,50.4,string
3/9/2016 0:30,51,string
3/9/2016 0:45,50.4,string
3/9/2016 1:00,50.4,string
3/9/2016 1:15,49.8,string
3/9/2016 1:30,49.2,string
3/9/2016 1:45,49.2,string
3/9/2016 2:00,48.6,string
3/9/2016 2:15,51,string
3/9/2016 2:30,49.8,string
3/9/2016 2:45,49.2,string
3/9/2016 3:00,46.8,string
3/9/2016 3:15,51,string
3/9/2016 3:30,51.6,string
3/9/2016 3:45,49.8,string
3/9/2016 4:00,48.6,string
3/9/2016 4:15,52.2,string
3/9/2016 4:30,52.8,string
3/9/2016 4:45,55.2,string
3/9/2016 5:00,58.2,string
3/9/2016 5:15,61.8,string
3/9/2016 5:30,60.6,string
3/9/2016 5:45,61.2,string
3/9/2016 6:00,70.8,string
3/9/2016 6:15,73.8,string
3/9/2016 6:30,69,string
3/9/2016 6:45,78.6,string
3/9/2016 7:00,77.4,string
3/9/2016 7:15,71.4,string
3/9/2016 7:30,73.8,string
3/9/2016 7:45,77.4,string
3/9/2016 8:00,75,string
3/9/2016 8:15,80.4,string
3/9/2016 8:30,82.8,string
3/9/2016 8:45,82.2,string
3/9/2016 9:00,81,string
3/9/2016 9:15,85.2,string
3/9/2016 9:30,86.4,string
3/9/2016 9:45,82.2,string
3/9/2016 10:00,82.2,string
3/9/2016 10:15,86.4,string
3/9/2016 10:30,94.2,string
3/9/2016 10:45,97.8,string
3/9/2016 11:00,98.4,string
3/9/2016 11:15,98.4,string
3/9/2016 11:30,97.8,string
3/9/2016 11:45,99,string
3/9/2016 12:00,94.2,string
3/9/2016 12:15,91.2,string
3/9/2016 12:30,89.4,string
3/9/2016 12:45,88.8,string
3/9/2016 13:00,95.4,string
3/9/2016 13:15,91.8,string
3/9/2016 13:30,94.8,string
3/9/2016 13:45,93.6,string
3/9/2016 14:00,94.2,string
3/9/2016 14:15,93.6,string
3/9/2016 14:30,91.8,string
3/9/2016 14:45,95.4,string
3/9/2016 15:00,94.8,string
3/9/2016 15:15,94.2,string
3/9/2016 15:30,91.2,string
3/9/2016 15:45,88.8,string
3/9/2016 16:00,87.6,string
3/9/2016 16:15,93.6,string
3/9/2016 16:30,88.8,string
3/9/2016 16:45,92.4,string
3/9/2016 17:00,92.4,string
